date,symbol,action,score,confidence,entry,stop,target,horizon_days,source,model,prompt_version,reason,risk_reward,meta
2026-09-16,sh600519,SELL,26.0,0.78,1258.0,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sh600519"", ""日期"": ""2026-09-16"", ""收盘价"": 1258.0, ""当日涨跌幅%"": -1.16, ""MA5"": 1273.8, ""MA10"": 1291.41, ""MA20"": 1293.81, ""MA60"": 1279.83, ""MA20近5日斜率%"": -0.87, ""RSI14"": 37.5, ""ATR14"": 19.28, ""ATR占价格比%"": 1.53, ""量比"": 1.13, ""20日涨幅%"": -3.8, ""60日涨幅%"": 6.6, ""60日区间位置"": 46.3, ""20日年化波动率%"": 16.5, ""换手率%"": 0.21}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-16,sz000858,SELL,25.4,0.79,69.26,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sz000858"", ""日期"": ""2026-09-16"", ""收盘价"": 69.26, ""当日涨跌幅%"": -0.63, ""MA5"": 69.81, ""MA10"": 70.6, ""MA20"": 71.04, ""MA60"": 72.61, ""MA20近5日斜率%"": -1.17, ""RSI14"": 34.2, ""ATR14"": 0.827, ""ATR占价格比%"": 1.19, ""量比"": 0.91, ""20日涨幅%"": -3.7, ""60日涨幅%"": -2.1, ""60日区间位置"": 9.2, ""20日年化波动率%"": 12.6, ""换手率%"": 0.4}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-16,sh601318,HOLD,52.1,0.34,53.51,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh601318"", ""日期"": ""2026-09-16"", ""收盘价"": 53.51, ""当日涨跌幅%"": -0.72, ""MA5"": 54.5, ""MA10"": 55.21, ""MA20"": 54.77, ""MA60"": 52.09, ""MA20近5日斜率%"": 1.64, ""RSI14"": 46.2, ""ATR14"": 1.154, ""ATR占价格比%"": 2.16, ""量比"": 1.1, ""20日涨幅%"": 4.7, ""60日涨幅%"": 11.2, ""60日区间位置"": 65.9, ""20日年化波动率%"": 25.0, ""换手率%"": 0.53}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-16,sz300750,SELL,24.6,0.81,305.48,,,15,llm,mock-rule-v1,mock,规则模拟：RSI超卖,,"{""snapshot"": {""代码"": ""sz300750"", ""日期"": ""2026-09-16"", ""收盘价"": 305.48, ""当日涨跌幅%"": -3.44, ""MA5"": 325.5, ""MA10"": 334.86, ""MA20"": 353.99, ""MA60"": 373.55, ""MA20近5日斜率%"": -4.68, ""RSI14"": 22.3, ""ATR14"": 12.586, ""ATR占价格比%"": 4.12, ""量比"": 2.31, ""20日涨幅%"": -21.5, ""60日涨幅%"": -22.5, ""60日区间位置"": 0.0, ""20日年化波动率%"": 30.5}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-16,sh600036,BUY,76.2,0.82,40.92,39.12,43.8,15,llm,mock-rule-v1,mock,"规则模拟：站上MA20, 站上MA60",1.5999999999999936,"{""snapshot"": {""代码"": ""sh600036"", ""日期"": ""2026-09-16"", ""收盘价"": 40.92, ""当日涨跌幅%"": -0.44, ""MA5"": 41.35, ""MA10"": 41.25, ""MA20"": 40.5, ""MA60"": 38.76, ""MA20近5日斜率%"": 1.75, ""RSI14"": 56.4, ""ATR14"": 0.721, ""ATR占价格比%"": 1.76, ""量比"": 0.86, ""20日涨幅%"": 4.5, ""60日涨幅%"": 14.4, ""60日区间位置"": 87.6, ""20日年化波动率%"": 17.0, ""换手率%"": 0.26}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-17,sh600519,SELL,27.5,0.75,1266.98,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sh600519"", ""日期"": ""2026-09-17"", ""收盘价"": 1266.98, ""当日涨跌幅%"": 0.71, ""MA5"": 1270.17, ""MA10"": 1288.22, ""MA20"": 1292.58, ""MA60"": 1281.21, ""MA20近5日斜率%"": -0.7, ""RSI14"": 41.2, ""ATR14"": 18.523, ""ATR占价格比%"": 1.46, ""量比"": 0.8, ""20日涨幅%"": -1.9, ""60日涨幅%"": 7.0, ""60日区间位置"": 50.9, ""20日年化波动率%"": 16.3, ""换手率%"": 0.14}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-17,sz000858,SELL,25.4,0.79,69.13,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sz000858"", ""日期"": ""2026-09-17"", ""收盘价"": 69.13, ""当日涨跌幅%"": -0.19, ""MA5"": 69.54, ""MA10"": 70.44, ""MA20"": 70.89, ""MA60"": 72.56, ""MA20近5日斜率%"": -1.06, ""RSI14"": 33.6, ""ATR14"": 0.77, ""ATR占价格比%"": 1.11, ""量比"": 0.72, ""20日涨幅%"": -4.1, ""60日涨幅%"": -4.5, ""60日区间位置"": 7.9, ""20日年化波动率%"": 12.5, ""换手率%"": 0.3}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-17,sh601318,HOLD,51.6,0.33,53.35,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh601318"", ""日期"": ""2026-09-17"", ""收盘价"": 53.35, ""当日涨跌幅%"": -0.3, ""MA5"": 54.06, ""MA10"": 54.85, ""MA20"": 54.87, ""MA60"": 52.17, ""MA20近5日斜率%"": 1.49, ""RSI14"": 45.3, ""ATR14"": 1.072, ""ATR占价格比%"": 2.01, ""量比"": 0.76, ""20日涨幅%"": 4.3, ""60日涨幅%"": 10.4, ""60日区间位置"": 64.5, ""20日年化波动率%"": 25.1}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-17,sz300750,SELL,18.0,0.85,304.3,,,15,llm,mock-rule-v1,mock,规则模拟：RSI超卖,,"{""snapshot"": {""代码"": ""sz300750"", ""日期"": ""2026-09-17"", ""收盘价"": 304.3, ""当日涨跌幅%"": -0.39, ""MA5"": 318.75, ""MA10"": 330.34, ""MA20"": 349.95, ""MA60"": 371.95, ""MA20近5日斜率%"": -5.03, ""RSI14"": 22.0, ""ATR14"": 11.702, ""ATR占价格比%"": 3.85, ""量比"": 0.82, ""20日涨幅%"": -21.0, ""60日涨幅%"": -24.0, ""60日区间位置"": 0.0, ""20日年化波动率%"": 30.6, ""换手率%"": 0.81}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-17,sh600036,BUY,75.9,0.82,40.6,38.87,43.36,15,llm,mock-rule-v1,mock,"规则模拟：站上MA20, 站上MA60",1.5953757225433478,"{""snapshot"": {""代码"": ""sh600036"", ""日期"": ""2026-09-17"", ""收盘价"": 40.6, ""当日涨跌幅%"": -0.78, ""MA5"": 41.16, ""MA10"": 41.2, ""MA20"": 40.58, ""MA60"": 38.85, ""MA20近5日斜率%"": 1.61, ""RSI14"": 52.9, ""ATR14"": 0.691, ""ATR占价格比%"": 1.7, ""量比"": 0.85, ""20日涨幅%"": 4.5, ""60日涨幅%"": 15.3, ""60日区间位置"": 83.2, ""20日年化波动率%"": 17.0}, ""entry_is_reference"": true, ""memory_lessons"": []}"
